├и╠дn	 786
и╠дn	 786
c─	 781
Д_	 775
╠Д_	 775
│╠Д_	 773
╣│╠Д_	 773
├мng-	 771
Б_	 770
g├бu	 769
─Б_	 768
k-c	 768
-k	 766
нng_	 764
-h├	 763
n├и	 759
i─Х	 757
_s─	 756
-si	 755
g┼	 755
p	 750
├йk_	 749
йk_	 749
i├к	 744
u├│k	 742
k├	 741
_ni	 739
─Уn	 738
